timestamp,open,high,low,close,coin
2025-04-18,1577.84,1613.23,1570.03,1583.48,ethereum
2025-04-22,1583.45,1651.18,1570.08,1577.45,ethereum
2025-04-26,1578.78,1819.79,1558.65,1788.8,ethereum
2025-04-30,1787.36,1848.73,1754.97,1796.97,ethereum
2025-05-04,1798.93,1867.18,1750.28,1834.5,ethereum
2025-05-08,1834.07,1847.56,1757.78,1810.32,ethereum
2025-05-12,1811.71,2587.26,1810.91,2507.47,ethereum
2025-05-16,2509.65,2708.81,2425.76,2542.3,ethereum
2025-05-20,2545.16,2631.38,2367.75,2526.99,ethereum
2025-05-24,2527.81,2720.92,2460.59,2519.81,ethereum
2025-05-28,2520.23,2700.22,2479.53,2662.09,ethereum
2025-06-01,2662.17,2771.24,2494.41,2532.36,ethereum
2025-06-05,2531.53,2667.17,2482.52,2610.34,ethereum
2025-06-09,2609.95,2634.74,2408.52,2508.78,ethereum
2025-06-13,2509.01,2870.51,2482.7,2653.16,ethereum
2025-06-17,2650.1,2672.77,2468.26,2561.33,ethereum
2025-06-21,2548.1,2613.23,2389.71,2405.7,ethereum
2025-06-25,2406.19,2473.84,2134.88,2446.54,ethereum
2025-06-29,2447.33,2510.28,2391.69,2437.13,ethereum
2025-07-03,2436.76,2606.08,2393.31,2574.07,ethereum
2025-07-07,2572.33,2630.57,2478.63,2571.36,ethereum
2025-07-11,2570.82,2979.89,2521.06,2948.45,ethereum
2025-07-15,2948.78,3074.13,2908.75,3012.18,ethereum
2025-07-19,3013.07,3669.85,2942.21,3547.32,ethereum
2025-07-23,3548.42,3848.92,3523.94,3746.94,ethereum
2025-07-27,3745.23,3773.65,3530.3,3742.43,ethereum
2025-07-31,3739.71,3936.94,3708.13,3807.42,ethereum
2025-08-04,3807.38,3874.37,3373.55,3497.57,ethereum
2025-08-08,3497.79,3917.17,3495.1,3911.26,ethereum
2025-08-12,3907.6,4347.28,3884.64,4228.82,ethereum
2025-08-16,4226.51,4779.0,4226.51,4430.53,ethereum
2025-08-20,4437.62,4563.72,4074.5,4074.5,ethereum
2025-08-24,4080.65,4877.09,4074.75,4773.88,ethereum
2025-08-28,4782.43,4946.05,4341.54,4500.15,ethereum
2025-09-01,4503.25,4625.35,4279.96,4388.93,ethereum
2025-09-05,4385.61,4486.12,4238.45,4298.09,ethereum
2025-09-09,4302.63,4467.61,4250.48,4309.69,ethereum
2025-09-13,4307.14,4721.04,4279.58,4708.84,ethereum
2025-09-17,4707.47,4762.74,4431.42,4504.27,ethereum
2025-09-21,4503.4,4637.85,4440.0,4481.8,ethereum
2025-09-25,4481.48,4497.46,4100.86,4148.66,ethereum
2025-09-29,4152.85,4160.04,3833.75,4141.84,ethereum
2025-10-03,4139.68,4514.81,4089.64,4484.01,ethereum
2025-10-07,4484.18,4734.99,4443.26,4689.13,ethereum
2025-10-11,4690.84,4753.34,3574.79,3835.63,ethereum
2025-10-15,3841.67,4283.09,3664.38,4128.89,ethereum
2025-10-19,4126.24,4203.8,3687.73,3889.5,ethereum
2025-10-23,3890.02,4106.4,3726.29,3801.79,ethereum
2025-10-27,3805.88,4172.98,3805.8,4161.59,ethereum
2025-10-31,4158.57,4246.23,3687.02,3802.3,ethereum
2025-11-04,3801.55,3911.96,3572.5,3600.72,ethereum
2025-11-08,3600.36,3649.01,3097.71,3434.35,ethereum
2025-11-12,3426.4,3647.92,3360.28,3416.78,ethereum
2025-11-16,3416.07,3583.32,3078.56,3170.11,ethereum
2025-11-20,3169.7,3241.23,2872.51,3017.75,ethereum
2025-11-24,3020.94,3051.09,2632.87,2799.81,ethereum
2025-11-28,2798.91,3066.28,2770.21,3015.61,ethereum
2025-12-02,3014.82,3090.81,2724.95,2799.04,ethereum
2025-12-06,2796.73,3231.79,2785.45,3022.66,ethereum
2025-12-10,3019.83,3388.4,2941.77,3322.47,ethereum
2025-12-14,3318.72,3432.93,3054.43,3115.23,ethereum
2025-12-18,3115.27,3171.02,2796.23,2827.8,ethereum
2025-12-22,2832.47,3005.37,2781.74,3001.6,ethereum
2025-12-26,3004.22,3065.1,2893.8,2904.25,ethereum
2025-12-30,2901.68,3049.93,2896.35,2934.22,ethereum
2026-01-03,2934.36,3144.27,2920.49,3121.9,ethereum
2026-01-07,3124.92,3300.17,3080.89,3295.1,ethereum
2026-01-11,3292.52,3292.52,3058.45,3082.97,ethereum
2026-01-15,3081.69,3386.55,3071.03,3356.5,ethereum
2026-01-19,3354.68,3378.86,3258.59,3284.32,ethereum
2026-01-23,3281.73,3281.73,2872.06,2948.28,ethereum
2026-01-27,2949.66,3005.15,2787.35,2927.84,ethereum
