timestamp,open,high,low,close,coin
2025-04-18,131.37,135.63,129.76,134.62,solana
2025-04-22,134.68,142.2,132.71,136.33,solana
2025-04-26,136.4,155.46,135.93,150.92,solana
2025-04-30,150.94,152.91,145.12,146.49,solana
2025-05-04,146.44,153.32,141.31,146.8,solana
2025-05-08,146.76,149.28,141.9,147.2,solana
2025-05-12,147.21,179.62,147.21,172.86,solana
2025-05-16,173.02,184.05,167.32,168.75,solana
2025-05-20,169.0,176.13,160.52,166.71,solana
2025-05-24,166.78,186.92,165.22,174.44,solana
2025-05-28,174.3,178.9,169.9,176.58,solana
2025-06-01,176.61,177.03,152.78,156.87,solana
2025-06-05,156.82,162.57,151.03,153.53,solana
2025-06-09,153.48,154.64,142.38,152.5,solana
2025-06-13,152.48,167.8,150.01,152.66,solana
2025-06-17,152.6,158.57,141.88,151.44,solana
2025-06-21,150.92,154.02,136.98,140.04,solana
2025-06-25,140.06,146.4,127.01,145.8,solana
2025-06-29,145.92,152.15,137.98,150.78,solana
2025-07-03,150.79,158.34,145.46,152.17,solana
2025-07-07,152.29,156.04,145.55,151.92,solana
2025-07-11,151.92,164.76,147.99,163.86,solana
2025-07-15,163.75,168.18,158.26,162.28,solana
2025-07-19,162.28,184.13,157.97,177.37,solana
2025-07-23,177.35,205.29,174.64,205.29,solana
2025-07-27,205.19,205.19,176.94,184.94,solana
2025-07-31,184.83,194.21,173.22,177.88,solana
2025-08-04,177.81,182.53,156.11,161.9,solana
2025-08-08,161.85,175.39,161.45,175.39,solana
2025-08-12,175.25,186.35,173.9,175.05,solana
2025-08-16,174.96,209.18,174.04,185.6,solana
2025-08-20,185.7,195.1,176.13,176.4,solana
2025-08-24,176.28,207.58,176.28,204.02,solana
2025-08-28,204.27,212.69,186.21,203.29,solana
2025-09-01,202.93,217.66,198.1,200.9,solana
2025-09-05,200.23,212.41,194.5,202.69,solana
2025-09-09,202.49,216.73,199.69,214.09,solana
2025-09-13,214.33,243.62,211.34,242.26,solana
2025-09-17,242.22,248.84,230.63,237.0,solana
2025-09-21,236.92,252.78,232.78,239.46,solana
2025-09-25,239.56,241.69,206.33,211.6,solana
2025-09-29,211.62,212.22,191.28,210.75,solana
2025-10-03,210.75,234.62,204.69,234.62,solana
2025-10-07,234.78,237.29,224.69,232.6,solana
2025-10-11,232.63,234.97,176.73,189.89,solana
2025-10-15,188.79,210.8,173.79,202.78,solana
2025-10-19,202.58,207.6,175.12,187.56,solana
2025-10-23,187.65,197.26,177.75,180.03,solana
2025-10-27,180.09,200.59,179.97,200.07,solana
2025-10-31,200.02,205.03,179.42,184.29,solana
2025-11-04,184.5,189.61,164.02,165.93,solana
2025-11-08,165.89,168.17,147.97,161.88,solana
2025-11-12,161.69,171.62,154.35,154.35,solana
2025-11-16,154.66,160.79,136.26,139.59,solana
2025-11-20,139.27,143.06,129.33,136.43,solana
2025-11-24,136.72,144.3,122.66,130.85,solana
2025-11-28,130.58,144.38,128.65,140.83,solana
2025-12-02,140.85,143.08,123.52,126.75,solana
2025-12-06,126.67,146.14,126.16,133.2,solana
2025-12-10,133.23,144.43,128.26,138.01,solana
2025-12-14,137.89,141.67,129.42,133.22,solana
2025-12-18,133.17,134.26,121.76,123.08,solana
2025-12-22,123.17,128.57,117.62,126.02,solana
2025-12-26,126.02,128.1,120.09,120.09,solana
2025-12-30,120.02,129.06,119.72,123.1,solana
2026-01-03,123.12,132.89,122.59,132.05,solana
2026-01-07,132.18,142.91,130.01,141.1,solana
2026-01-11,141.0,141.0,133.38,135.8,solana
2026-01-15,135.72,147.9,135.63,146.71,solana
2026-01-19,146.69,146.69,138.59,138.59,solana
2026-01-23,138.05,138.05,125.71,128.22,solana
2026-01-27,128.27,129.56,117.75,124.2,solana
2026-01-31,124.1,127.87,113.12,117.3,solana
2026-02-04,117.35,118.54,96.6,97.62,solana
2026-02-08,97.68,99.29,70.61,87.67,solana
2026-02-12,87.63,88.59,78.35,79.27,solana
2026-02-16,79.21,90.96,76.81,85.94,solana
2026-02-20,85.99,87.41,79.82,82.33,solana
2026-02-24,82.38,86.6,77.32,77.74,solana
2026-02-28,77.76,90.65,76.1,81.97,solana
2026-03-04,81.87,89.58,77.47,87.21,solana
2026-03-08,87.03,93.71,82.51,83.18,solana
2026-03-12,83.2,88.54,81.03,86.63,solana
2026-03-16,86.57,92.91,84.89,92.16,solana
2026-03-20,92.25,97.26,87.28,88.85,solana
2026-03-24,88.9,91.96,85.32,91.38,solana
2026-03-28,91.45,93.24,82.14,82.96,solana
2026-04-01,82.99,84.69,79.81,83.06,solana
2026-04-05,83.09,86.05,76.95,80.77,solana
2026-04-09,80.79,86.37,78.48,82.6,solana
2026-04-13,82.48,86.17,81.41,81.53,solana
2026-04-17,81.54,90.1,81.54,88.99,solana
