timestamp,open,high,low,close,return_1d,return_7d,vol_14d,vol_30d,rsi_14,macd,macd_signal,macd_hist,macd_cross_up,macd_cross_down,bb_mid,bb_upper,bb_lower,bb_width,bb_pct,bb_squeeze,volume
2025-07-03,107333.0,109608.0,105402.0,108824.0,0.01390079379868081,0.038268153759552836,0.5024015924077682,,70.73462214411248,4911.912988204014,4948.59655675625,-36.683568552235556,False,False,101876.15,115909.0581245328,87843.24187546718,0.2754895650165974,0.7475556006760116,False,36395184773.06136
2025-07-07,108876.0,110386.0,107386.0,109215.0,0.003592957435859745,0.033332702569730976,0.3624553770448651,,61.9348054679285,4897.0978063172515,4938.29680666845,-41.199000351198265,False,False,103090.35,114990.0793427867,91190.62065721331,0.23086019870505234,0.7573440884062038,False,14638669497.351295
2025-07-11,109222.0,116462.0,107591.0,115880.0,0.061026415785377486,0.09342416893912953,0.4630503022839614,,71.53930556047146,5361.3639993539255,5022.910245205545,338.45375414838054,True,False,104511.75,115284.29306827753,93739.20693172247,0.20614989354359742,1.027649317712021,False,56204086624.04028
2025-07-15,115961.0,122838.0,115548.0,119834.0,0.034121505005177744,0.1204570317248086,0.479354301397853,,73.45065539670486,5979.425956868654,5214.213387538167,765.212569330487,False,False,105764.8,117550.17815930801,93979.421840692,0.22286012282551482,1.096892174770321,False,68915956378.80447
2025-07-19,119849.0,120689.0,116094.0,117989.0,-0.015396298212527304,0.14230806467228185,0.4941661000185625,,67.63357778941855,6248.341439743526,5421.038997979239,827.3024417642873,False,False,106951.45,118636.5077635218,95266.39223647819,0.21851144165921654,0.9722933434893586,False,58896449260.69391
2025-07-23,118003.0,120222.0,116779.0,119956.0,0.016671045605946233,0.13191666037593408,0.4938351872943135,,67.75603392041748,6544.735719035874,5645.778342190566,898.9573768453083,False,False,108153.1,120004.63854369256,96301.56145630745,0.21916225320758362,0.9979480071927687,False,58939000420.94166
2025-07-27,119959.0,119959.0,115086.0,117960.0,-0.016639434459301716,0.09901986360079018,0.4425424601890858,,73.46866600650728,6543.144505159085,5825.25157478427,717.8929303748155,False,False,109199.8,120602.76732572612,97796.83267427389,0.20884593791794703,0.8841193151644047,False,25145925063.881348
2025-07-31,117906.0,119754.0,116079.0,117833.0,-0.001076636147846699,0.08278504741601123,0.4437894718815402,,73.02143008699342,6457.201024142705,5951.641464655957,505.5595594867482,False,False,109891.75,121638.97628627928,98144.52371372072,0.21379632750009506,0.8380053217019983,False,43054424656.58649
2025-08-04,117828.0,118865.0,112113.0,114199.0,-0.030840256973852842,0.04563475713043075,0.4874809424196246,,63.706377082460605,6026.388313669566,5966.59083445868,59.797479210886195,False,False,110416.25,121935.67337509718,98896.82662490282,0.20865449379230278,0.6641900760491881,False,24689273719.085533
2025-08-08,114235.0,117596.0,112770.0,117463.0,0.028581686354521407,0.013660683465654078,0.5005365668701967,,66.88326962658041,5880.556266276981,5949.38392082234,-68.82765454535911,False,True,111007.95,122706.33532223,99309.56467776999,0.21076662207040145,0.7758949129386989,False,38289687095.00489
2025-08-12,117483.0,122227.0,115979.0,118774.0,0.011160961323991359,-0.00884556970475825,0.5008047140685272,,67.21010800896678,5803.866699046019,5920.280476467076,-116.4137774210576,False,False,111585.8,123632.28941393293,99539.31058606708,0.21591438003640115,0.7983524806690218,False,61739781527.95854
2025-08-16,118727.0,124128.0,116956.0,117340.0,-0.012073349386229282,-0.005500512759664011,0.4596388355354578,0.5303551823135877,71.86974659112136,5563.248186838886,5848.874018541439,-285.6258317025531,False,False,111999.4,124248.22603010539,99750.5739698946,0.21873020802085363,0.7180045657793562,False,44268714220.021
2025-08-20,117397.0,118514.0,112778.0,112778.0,-0.03887847281404466,-0.05983860748941283,0.5104760103320396,0.5536827948625836,60.003529619389376,4947.4103418123705,5668.5812831956255,-721.170941383255,False,False,112403.9,124160.53310019622,100647.26689980377,0.20918550157416646,0.5159101673417775,False,46156885037.403885
2025-08-24,112896.0,117310.0,111764.0,115360.0,0.022894536168401647,-0.02204136995591721,0.5174837014562865,0.48687618987273157,61.395639336815805,4614.507069021653,5457.7664403608305,-843.259371339178,False,False,112931.25,124189.85894230666,101672.64105769334,0.19938872441962094,0.607861904274579,False,27306719885.257973
2025-08-28,115333.0,115549.0,109214.0,111216.0,-0.03592233009708734,-0.056155745843694094,0.5558896521412905,0.5077459203588823,53.15767240468899,3970.522942829237,5160.3177408545125,-1189.7947980252757,False,False,113207.45,123978.77568638154,102436.12431361845,0.19029358379473343,0.40755780402602454,False,36957904262.99581
2025-09-01,111241.0,113329.0,107682.0,108253.0,-0.02664185009351172,-0.05206700584068158,0.5744976075079918,0.5181960764136821,48.81081882911392,3184.3641779453756,4765.1270282726855,-1580.76285032731,False,False,113321.15,123815.65435177724,102826.64564822275,0.185217046452092,0.2585331412463656,False,26140904019.246822
2025-09-05,108226.0,112502.0,107295.0,110725.0,0.022835394862036118,-0.05736274401300834,0.4865563078638485,0.5216502873295845,42.89063577437596,2729.335354427327,4357.968693503614,-1628.6333390762875,False,False,113509.85,123651.87805993056,103367.82194006945,0.17869864262758792,0.3627074395996557,False,38708366685.43147
2025-09-09,110752.0,113225.0,110032.0,112025.0,0.011740799277489167,-0.05682220014481287,0.45079340340161045,0.46329125584557135,38.37981012469867,2445.4314573185693,3975.4612462666055,-1530.0297889480362,False,False,113946.6,122920.6317384163,104972.56826158371,0.1575129356806836,0.3929355246330384,True,37159847899.8603
2025-09-13,112080.0,116705.0,110822.0,116160.0,0.036911403704530166,-0.010056246804158842,0.4926111255097133,0.4777771532742579,47.45200746705302,2524.9890142012446,3685.3667998535334,-1160.3777856522888,False,False,114455.8,122647.14201716073,106264.45798283927,0.14313546394609497,0.6040244685443317,True,51192951485.8644
2025-09-17,116092.0,116970.0,114509.0,116763.0,0.005191115702479321,0.0353349057440282,0.4845983355312607,0.4749663118819639,45.37608248617024,2606.64819393323,3469.623078669473,-862.9748847362434,False,False,114927.35,122450.55419628131,107404.1458037187,0.1309210417934688,0.6219992141717586,True,39964451595.09973
2025-09-21,116797.0,117888.0,114940.0,115716.0,-0.00896688163202386,0.0030859916782246533,0.47948060451214997,0.47510054416843905,46.658526416105786,2557.3994237069273,3287.178347676964,-729.7789239700369,False,False,115271.95,122228.04480504969,108315.8551949503,0.12069015584536734,0.5319180526175153,True,18774953731.290398
