timestamp,close,rsi_14,macd,macd_signal,macd_cross_down,sig_rsi,sig_macd,sig_exchange,sig_nvt,score,position
2025-05-09,103076.27555512934,75.88352143495473,2995.061875006053,2572.435222691515,False,-1,1,-1,0,-1,0.0
2025-05-10,102962.540456923,74.09782551777896,3315.2356852500234,2720.9953152032167,False,-1,1,0,0,0,0.0
2025-05-11,104630.8792994166,76.94573611625277,3661.390507660021,2909.074353694578,False,-1,1,0,0,0,0.0
2025-05-12,103994.061616746,77.77637155673118,3840.068909418813,3095.273264839425,False,-1,1,0,0,0,0.0
2025-05-13,102876.8304286011,71.52080368018399,3847.173785709209,3245.653369013381,False,-1,1,0,0,0,0.0
2025-05-14,104184.49039270742,76.45694540627674,3913.2126028944185,3379.165215789589,False,-1,1,0,0,0,0.0
2025-05-15,103594.42575090707,74.20480078163837,3873.2867178344313,3477.989516198558,False,-1,1,0,0,0,0.0
2025-05-16,103708.8513642364,71.10024834522692,3806.993703334112,3543.790353625669,False,-1,1,0,0,0,0.0
2025-05-17,103556.03493982446,69.73082531981872,3699.479704233076,3574.9282237471507,False,-1,1,0,0,0,0.0
2025-05-18,103212.36483885496,72.23673504968713,3545.6704979742062,3569.076678592562,True,-1,-1,1,0,-1,0.0
2025-05-19,106030.6376831359,83.22609686231158,3609.5776943467936,3577.176881743409,False,-1,1,0,0,0,0.0
2025-05-20,105629.41580436694,80.91449719752544,3586.5063428355206,3579.0427739618312,False,-1,1,-1,0,-1,0.0
2025-05-21,106786.71995834044,79.83839375775906,3619.8791897709016,3587.2100571236456,False,-1,1,0,0,0,0.0
2025-05-22,109665.86371625264,82.65905380432582,3834.4491082030727,3636.657867339531,False,-1,1,-1,0,-1,0.0
2025-05-23,111560.356938144,77.91698675944198,4109.989681846913,3731.324230241008,False,-1,1,0,0,0,0.0
2025-05-24,107216.66856870624,60.950052895207406,3932.526504298236,3771.5646850524536,False,-1,1,0,0,0,0.0
2025-05-25,107831.36374380375,58.710457965913214,3797.70879791546,3776.793507625055,False,0,1,1,0,2,1.0
2025-05-26,108861.81037744328,62.97019453487357,3731.0045281006014,3767.6357117201646,True,-1,-1,1,0,-1,0.0
2025-05-27,109377.71513263127,67.89515962325794,3677.379573211088,3749.58448401835,False,-1,-1,0,0,-2,0.0
2025-05-28,109068.45694901443,64.22619024044494,3568.7880916477443,3713.425205544229,False,-1,-1,0,0,-2,0.0
2025-05-29,107838.18431100152,61.91691176600987,3344.8979387677537,3639.7197521889343,False,-1,-1,0,0,-2,0.0
2025-05-30,105745.41660358038,55.147012193462736,2964.4224982980813,3504.660301410764,False,0,-1,0,0,-1,0.0
2025-05-31,104010.91956242644,51.06452392238481,2494.182175578244,3302.56467624426,False,0,-1,0,0,-1,0.0
2025-06-01,104687.50742934884,53.39917253251089,2151.309363109744,3072.313613617357,False,0,-1,1,0,0,0.0
2025-06-02,105710.00593822816,49.19450512277942,1939.7273043272437,2845.7963517593344,False,0,-1,1,0,0,0.0
2025-06-03,105884.74263221148,50.64881836658004,1765.791840079473,2629.7954494233622,False,0,-1,0,0,-1,0.0
2025-06-04,105434.47745144973,46.43569962401626,1573.4760421028768,2418.531567959265,False,0,-1,0,0,-1,0.0
2025-06-05,104812.9182188067,35.480370464282615,1355.286848011776,2205.882623969768,False,1,-1,0,0,0,0.0
2025-06-06,101650.7387545425,22.441678712388097,916.6424013835932,1948.034579452533,False,1,-1,-1,0,-1,0.0
2025-06-07,104409.74967959142,41.43954353491738,782.6210722470714,1714.9518780114408,False,0,-1,0,0,-1,0.0
2025-06-08,105681.4546141758,43.69590592159482,770.1463952294871,1525.9907814550502,False,0,-1,1,0,0,0.0
2025-06-09,105692.24740699006,40.1149080964432,752.4571543122438,1371.284056026489,False,0,-1,1,0,0,0.0
2025-06-10,110261.57485948496,52.200247809773934,1094.527806165148,1315.932806054221,False,0,-1,0,0,-1,0.0
2025-06-11,110212.73252109604,52.88593468607181,1346.1623718631454,1321.978719216006,False,0,1,0,0,1,0.0
2025-06-12,108679.9760916168,52.09114562024352,1405.6999104787535,1338.7229574685557,False,0,1,0,0,1,0.0
2025-06-13,105979.22902375912,50.56379723980746,1220.882547451285,1315.1548754651017,True,0,-1,0,0,-1,0.0
2025-06-14,106045.56440819205,55.33541749884429,1067.4611393081725,1265.616128233716,False,0,-1,-1,0,-2,0.0
2025-06-15,105482.90611628916,52.09829917097669,890.209959906817,1190.5348945683363,False,0,-1,1,0,0,0.0
2025-06-16,105554.49383061715,49.568082005566936,746.903811263488,1101.8086779073667,False,0,-1,1,0,0,0.0
2025-06-17,106951.2720181497,52.77387413834637,737.5390908331174,1028.954760492517,False,0,-1,0,0,-1,0.0
2025-06-18,104683.42479835715,48.21535950822357,540.8861659445683,931.3410415829272,False,0,-1,0,0,-1,0.0
2025-06-19,104722.695052907,49.7795115389419,383.78208651229215,821.8292505688003,False,0,-1,0,0,-1,0.0
2025-06-20,104690.65002458123,58.770811279470045,253.76496120446245,708.2163926959328,False,0,-1,0,0,-1,0.0
2025-06-21,103290.105144757,46.49480980592954,37.28340582113015,574.0297953209722,False,0,-1,0,0,-1,0.0
2025-06-22,101532.5683847329,37.39482095104719,-272.9518951314967,404.6334572304784,False,1,-1,0,0,0,0.0
2025-06-23,100852.58264648831,35.87063379808539,-567.1470542548341,210.27735493341595,False,1,-1,-1,0,-1,0.0
2025-06-24,105511.62437933136,36.2048187199628,-419.5171739764919,84.31844915143438,False,1,-1,-1,0,-1,0.0
2025-06-25,105976.06929808448,37.98558235498202,-262.02217825700063,15.050323669747378,False,1,-1,0,0,0,0.0
2025-06-26,107238.53045016268,45.848677972162776,-34.93350363000354,5.053558209797194,False,0,-1,0,0,-1,0.0
2025-06-27,106984.01253775664,53.36835332556844,123.07965303544188,28.658777174926133,False,0,1,0,0,1,0.0
2025-06-28,107078.91560644074,53.457498921041015,253.047132790467,73.53644829803432,False,0,1,0,0,1,0.0
2025-06-29,107331.58548463575,56.31654212499763,372.1457794882736,133.25831453608217,False,0,1,1,0,2,1.0
2025-06-30,108396.61631317894,59.09358282662424,546.1754316909792,215.8417379670616,False,0,1,0,0,1,1.0
2025-07-01,107132.79910701896,50.58579360736852,575.4819013676315,287.7697706471756,False,0,1,0,0,1,1.0
2025-07-02,105613.39974163056,53.153383412712,470.67896497085167,324.35160951191085,False,0,1,-1,0,0,0.0
2025-07-03,108824.44423167944,61.44624595161154,639.3562366300321,387.3525349355351,False,-1,1,-1,0,-1,0.0
2025-07-04,109602.20483914016,63.15842333007702,826.2682644609595,475.13568084062,False,-1,1,0,0,0,0.0
2025-07-05,108040.8919400104,62.61901118405251,838.7439722103445,547.8573391145649,False,-1,1,0,0,0,0.0
