timestamp,close,volume,rsi_14,macd,macd_signal,macd_hist,macd_cross_up,macd_cross_down,bb_mid,bb_upper,bb_lower,bb_width,bb_pct,return_1d,vol_14d
2025-05-09,103076.27555512934,50020047720.65604,75.88352143495473,2995.061875006053,2572.435222691515,422.6266523145382,False,False,94035.18350105622,102268.23979082912,85802.12721128332,0.17510586959572255,1.0490726490783235,0.0623518541216479,0.37751764884709843
2025-05-10,102962.54045692299,40800894903.23446,74.09782551777896,3315.2356852500234,2720.9953152032167,594.2403700468067,False,False,94926.97740175144,102958.49823741177,86895.45656609112,0.16921471757536735,1.0002516472031842,-0.0011034071380034982,0.37930614532700757
2025-05-11,104630.8792994166,21558992540.042442,76.94573611625277,3661.3905076600204,2909.074353694578,752.3161539654425,False,False,95904.86309429324,103641.89906167048,88167.82712691599,0.16134814685612403,1.0639120873882513,0.016203357406392005,0.38018642885056514
2025-05-12,103994.061616746,27389436049.454792,77.77637155673118,3840.068909418813,3095.273264839425,744.795644579388,False,False,96731.9638255964,104196.21288603287,89267.71476515992,0.1543284921599275,0.986458700155227,-0.006086326397470643,0.37716248755044607
2025-05-13,102876.8304286011,43090605819.36596,71.52080368018399,3847.1737857092085,3245.6533690133815,601.520416695827,False,False,97196.99705273946,104985.26790409232,89408.7262013866,0.1602574377298286,0.8646402060397668,-0.010743221014506421,0.3869057403499411
2025-05-14,104184.49039270742,33861432519.50822,76.45694540627674,3913.2126028944185,3379.165215789589,534.0473871048293,False,False,97725.94895693823,105913.89376359966,89538.0041502768,0.16756951237729803,0.8943933177538487,0.01271092780228944,0.38029294410559883
2025-05-15,103594.42575090709,28398245846.798244,74.20480078163837,3873.2867178344313,3477.989516198558,395.29720163587353,False,False,98212.02953304994,106588.92101608588,89835.138050014,0.1705878907678409,0.8212645304500513,-0.005663651466510711,0.3843336876545282
2025-05-16,103708.85136423641,31823340473.339912,71.10024834522692,3806.993703334112,3543.790353625669,263.20334970844306,False,False,98658.81650093998,107214.70092055478,90102.93208132518,0.1734438892145697,0.7951205635573436,0.0011045537682159434,0.3744999002817146
2025-05-17,103556.03493982446,25887953182.14765,69.73082531981872,3699.4797042330756,3574.9282237471507,124.55148048592491,False,False,99104.41492937115,107708.0661996057,90500.7636591366,0.17362801195821848,0.7587052793419384,-0.0014735138071797493,0.3761337470863272
2025-05-18,103212.36483885496,18950056010.479057,72.23673504968713,3545.6704979742062,3569.076678592562,-23.406180618355847,False,True,99574.56628032979,107985.39810738411,91163.73445327547,0.16893534446086403,0.7162567646890652,-0.00331868732874141,0.3705980175288545
2025-05-19,106030.6376831359,30744060179.802963,83.22609686231158,3609.5776943467936,3577.1768817434086,32.40081260338502,True,False,100124.56784174936,108720.87292094681,91528.26276255191,0.1717122033981557,0.8435237457822937,0.027305573791290394,0.3650545333320293
2025-05-20,105629.41580436694,43339734153.75087,80.91449719752544,3586.5063428355206,3579.0427739618312,7.463568873689383,False,False,100693.22065880868,109158.73398996292,92227.70732765445,0.16814465315076133,0.7915473021223886,-0.003784018351072893,0.370075277217187
2025-05-21,106786.71995834043,36393687094.25122,79.83839375775906,3619.8791897709016,3587.2100571236456,32.66913264725599,False,False,101320.76899120162,109630.10251034444,93011.4354720588,0.1640203405851445,0.8289042950644896,0.010956267675633846,0.3623939939113984
2025-05-22,109665.86371625263,60722883113.84,82.65905380432582,3834.4491082030727,3636.657867339531,197.7912408635416,False,False,101982.71491587775,110747.37491802606,93218.05491372943,0.17188520641714633,0.9383027292839458,0.026961627429285207,0.3745033636087751
2025-05-23,111560.356938144,52218408239.45193,77.91698675944198,4109.989681846913,3731.324230241008,378.6654516059052,False,False,102717.95435606522,112115.86633499511,93320.04237713534,0.18298479633565568,0.9704450627917904,0.01727514066540481,0.24099188061698293
2025-05-24,107216.66856870624,49251745837.96465,60.950052895207406,3932.5265042982355,3771.5646850524536,160.96181924578195,False,False,103282.64436329831,112311.38561829214,94253.90310830448,0.17483559431795903,0.7178611665957314,-0.0389357697362529,0.33155516105267635
2025-05-25,107831.36374380375,27128230116.517162,58.710457965913214,3797.7087979154603,3776.793507625055,20.91529029040521,False,False,103957.88152622388,112147.38547445563,95768.37757799213,0.15755426770919548,0.7364906496208616,0.005733205324353063,0.3241074223113547
2025-05-26,108861.81037744327,29652659665.048733,62.97019453487357,3731.0045281006023,3767.6357117201646,-36.63118361956231,False,True,104663.03085956832,111889.50299436864,97436.558724768,0.1380902516476223,0.7905137831816306,0.009556093866045723,0.3225963802177472
2025-05-27,109377.71513263129,27950577137.918888,67.89515962325794,3677.3795732110884,3749.58448401835,-72.20491080726151,False,False,105289.19001679195,111801.81920634325,98776.56082724065,0.12370936063830747,0.8138920547172305,0.004739079328180296,0.3130759558686241
2025-05-28,109068.45694901445,38978783508.88622,64.22619024044494,3568.7880916477443,3713.4252055442294,-144.63711389648506,False,False,105891.28817575925,111324.68152226784,100457.89482925067,0.10262210310427415,0.7923742650894945,-0.00282743320466905,0.311700661007572
2025-05-29,107838.18431100152,29794278037.284946,61.91691176600987,3344.8979387677537,3639.7197521889343,-294.82181342118065,False,False,106129.38361355287,111459.74738571704,100799.0198413887,0.10045029172266816,0.6602893133084294,-0.011279820696354359,0.3175510523391844
2025-05-30,105745.41660358038,38279231892.56757,55.147012193462736,2964.4224982980813,3504.660301410764,-540.2378031126827,False,False,106268.52742088574,111392.09546906987,101144.95937270162,0.09642681935154308,0.44895053482399205,-0.019406555486743637,0.3376258452513517
2025-05-31,104010.91956242644,39680060337.610214,51.06452392238481,2494.182175578244,3302.56467624426,-808.3825006660163,False,False,106237.52943403623,111410.08239639284,101064.97647167962,0.09737713197798509,0.28476683681984477,-0.016402574190579222,0.34974949454921495
2025-06-01,104687.50742934884,20432694555.09522,53.39917253251089,2151.3093631097436,3072.313613617357,-921.0042505076135,False,False,106272.20172466637,111390.44714190956,101153.95630742318,0.09632331567767295,0.3451916461470613,0.006504969572125763,0.35035845297002194
